fecha,producto,cantidad,precio_unitario,vendedor,región,venta_total
2024-08-02,Producto C,41,73.80198972191067,Ana,Norte,3025.8815785983375
2024-09-08,Producto C,33,59.753797921711694,María,Sur,1971.875331416486
2024-07-08,Producto C,40,36.68591292830186,Ana,Este,1467.4365171320744
2024-10-22,Producto B,39,47.780277080164886,Pedro,Centro,1863.4308061264305
2024-07-31,Producto D,18,33.05862492350123,Juan,Norte,595.0552486230221
2024-07-26,Producto B,40,65.03623397791125,María,Centro,2601.44935911645
2024-08-24,Producto B,1,17.343476236021633,Juan,Norte,17.343476236021633
2024-12-03,Producto A,11,10.46663764965881,Juan,Sur,115.13301414624692
2024-02-22,Producto B,28,66.51049734537725,María,Norte,1862.2939256705629
2024-10-06,Producto A,25,27.4846558160838,Ana,Este,687.116395402095
2024-08-04,Producto A,23,16.38468252999349,Juan,Este,376.8476981898503
2024-09-08,Producto B,31,45.71054444924995,Pedro,Norte,1417.0268779267485
2024-07-06,Producto D,30,14.569167793545724,Juan,Norte,437.0750338063717
2024-02-10,Producto D,42,89.79554340555939,María,Norte,3771.412823033494
2024-06-05,Producto D,35,12.485509468633424,María,Norte,436.9928314021698
2024-01-15,Producto D,7,62.09784059568028,María,Este,434.684884169762
2024-10-27,Producto D,16,49.462671071627824,Ana,Centro,791.4027371460452
2024-03-05,Producto B,26,70.48235217656794,Juan,Norte,1832.5411565907666
2024-12-10,Producto B,48,39.53374007272588,Ana,Norte,1897.619523490842
2024-11-22,Producto C,49,23.953745505496975,Ana,Este,1173.733529769352
2024-01-09,Producto D,2,98.3656799479478,María,Este,196.7313598958956
2024-12-09,Producto B,1,85.5040151862427,María,Sur,85.5040151862427
2024-05-08,Producto C,48,87.43641564805077,Ana,Norte,4196.947951106436
